"","Treatment","X.","Temp_mean","Temp_sd","Temp_min","Temp_max","DO_mean","DO_sd","DO_min","DO_max","Salinity_mean","Salinity_sd","Salinity_min","Salinity_max","pH_mean","pH_sd","pH_min","pH_max"
"1","Treatment Summary","AMB",28.626887755102,0.0253995286259758,28.55,28.84,6.41909090909091,0.0996704306164615,6.18,6.63,35.6707070707071,1.52524193139641,31.06,38.46,8.06505050505051,0.0666265253708488,7.81,8.41
"2","Treatment Summary","MP+",28.6299487179487,0.0312043057413794,28.54,28.87,6.41985858585859,0.108067004041275,6.14,6.86,35.7203787878788,1.5916576561466,29.97,38.36,8.06258585858586,0.0591549647093691,7.813,8.29
"3","Treatment Summary","OAW",30.0663636363636,0.570247883663989,28.59,30.63,6.29070707070707,0.0867255724937611,6.08,6.5,35.4274747474747,1.59598407395992,30.09,38.45,7.96337373737374,0.0793169553645131,7.809,8.41
"4","Treatment Summary","OAW+MP",30.1427272727273,0.52855193076592,28.6,30.64,6.2690404040404,0.0718330578977571,6.09,6.47,35.8831818181818,1.66724657577676,29.83,38.67,7.9475202020202,0.108415571473982,7.247,8.21
"5","AMB","10aD - 1",28.6231818181818,0.0167293194682304,28.6,28.65,6.415,0.095953857958619,6.19,6.56,36.2718181818182,0.982589563898504,34.62,37.85,8.04363636363636,0.0517443766942894,7.913,8.135
"6","AMB","11B - 1",28.6254545454545,0.0176546965900948,28.59,28.65,6.41772727272727,0.0988472519637203,6.21,6.56,34.725,2.04044054533515,31.51,37.74,8.07745454545454,0.04950683192173,7.981,8.16
"7","AMB","12E - 1",28.6447619047619,0.049256374980204,28.57,28.84,6.43181818181818,0.115455056753137,6.22,6.62,35.7536363636364,1.29163073543097,32.99,37.37,8.08131818181818,0.0911782066503031,7.913,8.41
"8","AMB","15E - 3",28.61,0.0200000000000004,28.58,28.64,6.42772727272727,0.105556656787754,6.22,6.63,36.0118181818182,1.11456861765582,34.49,37.84,8.08772727272727,0.0477824253587047,7.977,8.175
"9","AMB","2aD - 1",28.6268181818182,0.0237820187449342,28.55,28.66,6.415,0.0852307791486486,6.24,6.56,36.0972727272727,1.40414075341871,33.51,38.46,8.08468181818182,0.0711245630088752,7.815,8.173
"10","AMB","2B - 1",28.6385714285714,0.0131475147026781,28.61,28.66,6.40045454545455,0.106121102103626,6.22,6.59,35.8718181818182,0.989524351170016,34.14,37.47,8.01172727272727,0.0521400876925687,7.861,8.087
"11","AMB","5aC - 2",28.6368181818182,0.0178315834396546,28.6,28.67,6.42,0.112588589458215,6.18,6.63,35.6977272727273,1.4706232297848,32.62,38.18,8.03381818181818,0.071788469934833,7.81,8.19
"12","AMB","5D - 1",28.6163636363636,0.0181384764796917,28.56,28.64,6.45954545454545,0.093323669876979,6.25,6.6,34.0454545454545,1.60486678655813,31.06,37.39,8.08490909090909,0.0542866370393208,7.886,8.152
"13","AMB","6D - 1",28.6213636363636,0.0169861160518856,28.59,28.65,6.38454545454545,0.0788444685215788,6.23,6.53,36.5618181818182,0.904141984022823,34.93,38.02,8.08018181818182,0.0593718198054682,7.931,8.22
"14","MP+","10aB - 1",28.6072727272727,0.0364079816186113,28.54,28.66,6.375,0.107204744031489,6.14,6.55,35.1913636363636,1.65654343353446,32.23,38.01,8.06522727272727,0.0479075814838983,7.937,8.154
"15","MP+","11A - 1",28.6254545454545,0.0122386089807441,28.61,28.65,6.42136363636364,0.0828248556289518,6.22,6.58,36.4202272727273,1.07075015679121,34.95,38.36,8.06577272727273,0.0563153804739173,7.947,8.2
"16","MP+","12E - 2",28.6447619047619,0.0307602093001732,28.62,28.77,6.40363636363636,0.113831347868572,6.19,6.62,36.2127272727273,0.895742213225497,34.22,37.55,8.02245454545455,0.0502571741125936,7.906,8.099
