Tank,ID,Genotype,Water Treatment,Plastic Treatment,Combined Treatmenr,Date,Temp,DO,Salinity,pH,,,,,,,,,,,,,,,,,,,,,,
20,12E - 2,12,AMB,MP+,AMB MP+,10/17/20,28.62,6.51,37,8.042,,,,,,,,,,,,,,,,,,,,,,
21,11E - 1,11,OAW,Control,OAW Control,10/17/20,29.26,6.41,36.96,7.809,,,,,,,,,,,,,,,,,,,,,,
22,5aA - 1,5a,OAW,MP+,OAW MP+,10/17/20,30.05,6.39,35.71,7.828,,,,,,,,,,,,,,,,,,,,,,
23,5D - 1,5,AMB,Control,AMB Control,10/17/20,28.60,6.51,34.15,8.077,,,,,,,,,,,,,,,,,,,,,,
24,12B - 1,12,OAW,MP+,OAW MP+,10/17/20,30.03,6.29,36.42,7.827,,,,,,,,,,,,,,,,,,,,,,
25,5C - 1,5,AMB,MP+,AMB MP+,10/17/20,28.61,6.42,37.27,8.062,,,,,,,,,,,,,,,,,,,,,,
26,10aD - 1,10a,AMB,Control,AMB Control,10/17/20,28.60,6.45,37.84,8.053,,,,,,,,,,,,,,,,,,,,,,
27,11A - 1,11,AMB,MP+,AMB MP+,10/17/20,28.61,6.44,38.05,8.092,,,,,,,,,,,,,,,,,,,,,,
28,5C - 2,5,OAW,MP+,OAW MP+,10/17/20,30.07,6.3,37.21,7.826,,,,,,,,,,,,,,,,,,,,,,
29,2A - 1,2,OAW,Control,OAW Control,10/17/20,30.06,6.46,32.32,7.859,,,,,,,,,,,,,,,,,,,,,,
30,11B - 1,11,AMB,Control,AMB Control,10/17/20,28.62,6.39,37.55,8.087,,,,,,,,,,,,,,,,,,,,,,
31,2aB - 1,2a,OAW,MP+,OAW MP+,10/17/20,30.07,6.27,38.25,7.818,,,,,,,,,,,,,,,,,,,,,,
32,12A - 1,12,OAW,Control,OAW Control,10/17/20,30.03,6.29,36.72,7.833,,,,,,,,,,,,,,,,,,,,,,
33,2aD - 1,2a,AMB,Control,AMB Control,10/17/20,28.55,6.39,38.46,8.089,,,,,,,,,,,,,,,,,,,,,,
34,2D - 1,2,OAW,MP+,OAW MP+,10/17/20,30.06,6.29,38.43,7.850,,,,,,,,,,,,,,,,,,,,,,
35,6E - 1,6,OAW,Control,OAW Control,10/17/20,30.03,6.3,37.7,7.861,,,,,,,,,,,,,,,,,,,,,,
36,2aC - 1,2a,AMB,MP+,AMB MP+,10/17/20,28.61,6.44,37.2,8.064,,,,,,,,,,,,,,,,,,,,,,
1,15E - 1,15,AMB,MP+,AMB MP+,10/18/20,28.65,6.36,36.35,8.113,,,,,,,,,,,,,,,,,,,,,,
2,10aA - 1,10a,OAW,MP+,OAW MP+,10/18/20,30.15,6.21,36.76,7.797,,,,,,,,,,,,,,,,,,,,,,
3,5aC - 2,5a,AMB,Control,AMB Control,10/18/20,28.64,6.42,35.4,8.073,,,,,,,,,,,,,,,,,,,,,,
4,15E - 2,15,OAW,Control,OAW Control,10/18/20,30.10,6.31,33.45,7.877,,,,,,,,,,,,,,,,,,,,,,
5,15C - 1,15,OAW,MP+,OAW MP+,10/18/20,30.12,6.19,36.53,8.089,,,,,,,,,,,,,,,,,,,,,,
6,10aB - 1,10a,AMB,MP+,AMB MP+,10/18/20,28.65,6.45,35.23,8.100,,,,,,,,,,,,,,,,,,,,,,
7,15E - 3,15,AMB,Control,AMB Control,10/18/20,28.63,6.41,35.91,8.134,,,,,,,,,,,,,,,,,,,,,,
8,6D - 1,6,AMB,Control,AMB Control,10/18/20,28.63,6.39,36.48,8.120,,,,,,,,,,,,,,,,,,,,,,
9,5aC - 1,5a,OAW,Control,OAW Control,10/18/20,30.12,6.24,35.12,7.881,,,,,,,,,,,,,,,,,,,,,,
10,6B - 2,6,OAW,MP+,OAW MP+,10/18/20,30.09,6.18,37.42,7.867,,,,,,,,,,,,,,,,,,,,,,
11,5B - 1,5,OAW,Control,OAW Control,10/18/20,30.10,6.3,34.82,7.881,,,,,,,,,,,,,,,,,,,,,,
12,5aE - 1,5a,AMB,MP+,AMB MP+,10/18/20,28.63,6.43,36.05,8.119,,,,,,,,,,,,,,,,,,,,,,
13,11E - 2,11,OAW,MP+,OAW MP+,10/18/20,30.12,6.24,35.63,7.876,,,,,,,,,,,,,,,,,,,,,,
14,12E - 1,12,AMB,Control,AMB Control,10/18/20,28.64,6.42,35.61,8.127,,,,,,,,,,,,,,,,,,,,,,
15,2E - 1,2,AMB,MP+,AMB MP+,10/18/20,28.67,6.5,33.85,8.120,,,,,,,,,,,,,,,,,,,,,,
16,2B - 1,2,AMB,Control,AMB Control,10/18/20,28.65,6.42,35.36,8.048,,,,,,,,,,,,,,,,,,,,,,
17,6B - 1,6,AMB,MP+,AMB MP+,10/18/20,28.67,6.49,34.49,8.125,,,,,,,,,,,,,,,,,,,,,,
18,2aE - 1,2a,OAW,Control,OAW Control,10/18/20,30.11,6.26,35.95,7.870,,,,,,,,,,,,,,,,,,,,,,
19,10aC - 1,10a,OAW,Control,OAW Control,10/18/20,30.10,6.3,34.34,7.898,,,,,,,,,,,,,,,,,,,,,,
20,12E - 2,12,AMB,MP+,AMB MP+,10/18/20,28.64,6.38,35.96,8.064,,,,,,,,,,,,,,,,,,,,,,
21,11E - 1,11,OAW,Control,OAW Control,10/18/20,29.36,6.33,36.09,7.924,,,,,,,,,,,,,,,,,,,,,,
22,5aA - 1,5a,OAW,MP+,OAW MP+,10/18/20,30.10,6.34,35.27,7.909,,,,,,,,,,,,,,,,,,,,,,
23,5D - 1,5,AMB,Control,AMB Control,10/18/20,28.63,6.49,33.78,8.084,,,,,,,,,,,,,,,,,,,,,,
24,12B - 1,12,OAW,MP+,OAW MP+,10/18/20,30.10,6.3,35.75,7.919,,,,,,,,,,,,,,,,,,,,,,
25,5C - 1,5,AMB,MP+,AMB MP+,10/18/20,28.64,6.39,36.13,8.065,,,,,,,,,,,,,,,,,,,,,,
26,10aD - 1,10a,AMB,Control,AMB Control,10/18/20,28.64,6.38,36.18,8.061,,,,,,,,,,,,,,,,,,,,,,
27,11A - 1,11,AMB,MP+,AMB MP+,10/18/20,28.63,6.4,36.43,8.086,,,,,,,,,,,,,,,,,,,,,,
28,5C - 2,5,OAW,MP+,OAW MP+,10/18/20,30.12,6.27,36.13,7.866,,,,,,,,,,,,,,,,,,,,,,
29,2A - 1,2,OAW,Control,OAW Control,10/18/20,30.10,6.4,32.23,7.905,,,,,,,,,,,,,,,,,,,,,,
30,11B - 1,11,AMB,Control,AMB Control,10/18/20,28.64,6.36,36.2,8.049,,,,,,,,,,,,,,,,,,,,,,
31,2aB - 1,2a,OAW,MP+,OAW MP+,10/18/20,30.10,6.25,37.11,7.876,,,,,,,,,,,,,,,,,,,,,,
32,12A - 1,12,OAW,Control,OAW Control,10/18/20,30.09,6.3,35.65,7.879,,,,,,,,,,,,,,,,,,,,,,
33,2aD - 1,2a,AMB,Control,AMB Control,10/18/20,28.64,6.47,35.29,8.103,,,,,,,,,,,,,,,,,,,,,,
34,2D - 1,2,OAW,MP+,OAW MP+,10/18/20,30.11,6.19,36.95,7.913,,,,,,,,,,,,,,,,,,,,,,
35,6E - 1,6,OAW,Control,OAW Control,10/18/20,30.11,6.26,36.03,7.888,,,,,,,,,,,,,,,,,,,,,,
36,2aC - 1,2a,AMB,MP+,AMB MP+,10/18/20,28.63,6.4,35.81,8.068,,,,,,,,,,,,,,,,,,,,,,
1,15E - 1,15,AMB,MP+,AMB MP+,10/19/20,28.62,6.43,35.09,8.078,,,,,,,,,,,,,,,,,,,,,,
2,10aA - 1,10a,OAW,MP+,OAW MP+,10/19/20,30.09,6.3,35.29,7.905,,,,,,,,,,,,,,,,,,,,,,
3,5aC - 2,5a,AMB,Control,AMB Control,10/19/20,28.61,6.52,34.19,8.046,,,,,,,,,,,,,,,,,,,,,,
4,15E - 2,15,OAW,Control,OAW Control,10/19/20,30.08,6.48,32.38,7.893,,,,,,,,,,,,,,,,,,,,,,
5,15C - 1,15,OAW,MP+,OAW MP+,10/19/20,30.08,6.31,35.35,7.724,,,,,,,,,,,,,,,,,,,,,,
6,10aB - 1,10a,AMB,MP+,AMB MP+,10/19/20,28.54,6.51,34.14,8.064,,,,,,,,,,,,,,,,,,,,,,
7,15E - 3,15,AMB,Control,AMB Control,10/19/20,28.61,6.51,35.16,8.109,,,,,,,,,,,,,,,,,,,,,,
8,6D - 1,6,AMB,Control,AMB Control,10/19/20,28.60,6.48,35.33,8.094,,,,,,,,,,,,,,,,,,,,,,
9,5aC - 1,5a,OAW,Control,OAW Control,10/19/20,30.07,6.39,34.19,7.902,,,,,,,,,,,,,,,,,,,,,,
10,6B - 2,6,OAW,MP+,OAW MP+,10/19/20,29.93,6.26,36.47,7.853,,,,,,,,,,,,,,,,,,,,,,
11,5B - 1,5,OAW,Control,OAW Control,10/19/20,30.05,6.34,33.78,7.937,,,,,,,,,,,,,,,,,,,,,,
12,5aE - 1,5a,AMB,MP+,AMB MP+,10/19/20,28.58,6.46,35.42,8.086,,,,,,,,,,,,,,,,,,,,,,
13,11E - 2,11,OAW,MP+,OAW MP+,10/19/20,30.08,6.34,34.16,7.884,,,,,,,,,,,,,,,,,,,,,,
14,12E - 1,12,AMB,Control,AMB Control,10/19/20,28.62,6.55,32.99,8.079,,,,,,,,,,,,,,,,,,,,,,
15,2E - 1,2,AMB,MP+,AMB MP+,10/19/20,28.64,6.63,32.08,8.092,,,,,,,,,,,,,,,,,,,,,,
16,2B - 1,2,AMB,Control,AMB Control,10/19/20,28.63,6.54,34.27,8.019,,,,,,,,,,,,,,,,,,,,,,
17,6B - 1,6,AMB,MP+,AMB MP+,10/19/20,28.63,6.57,33.51,8.104,,,,,,,,,,,,,,,,,,,,,,
18,2aE - 1,2a,OAW,Control,OAW Control,10/19/20,30.06,6.35,34.41,7.892,,,,,,,,,,,,,,,,,,,,,,
19,10aC - 1,10a,OAW,Control,OAW Control,10/19/20,30.08,6.39,32.63,7.917,,,,,,,,,,,,,,,,,,,,,,
20,12E - 2,12,AMB,MP+,AMB MP+,10/19/20,28.64,6.5,34.8,8.023,,,,,,,,,,,,,,,,,,,,,,
21,11E - 1,11,OAW,Control,OAW Control,10/19/20,29.35,6.45,34.46,7.936,,,,,,,,,,,,,,,,,,,,,,
22,5aA - 1,5a,OAW,MP+,OAW MP+,10/19/20,30.06,6.42,33.55,7.928,,,,,,,,,,,,,,,,,,,,,,
23,5D - 1,5,AMB,Control,AMB Control,10/19/20,28.62,6.59,31.75,8.090,,,,,,,,,,,,,,,,,,,,,,
24,12B - 1,12,OAW,MP+,OAW MP+,10/19/20,30.06,6.37,34.4,7.919,,,,,,,,,,,,,,,,,,,,,,
25,5C - 1,5,AMB,MP+,AMB MP+,10/19/20,28.60,6.45,35.01,8.045,,,,,,,,,,,,,,,,,,,,,,
26,10aD - 1,10a,AMB,Control,AMB Control,10/19/20,28.60,6.48,35.8,8.046,,,,,,,,,,,,,,,,,,,,,,
27,11A - 1,11,AMB,MP+,AMB MP+,10/19/20,28.61,6.48,35.67,8.063,,,,,,,,,,,,,,,,,,,,,,
28,5C - 2,5,OAW,MP+,OAW MP+,10/19/20,30.05,6.32,35.67,7.909,,,,,,,,,,,,,,,,,,,,,,
29,2A - 1,2,OAW,Control,OAW Control,10/19/20,30.06,6.5,30.09,7.896,,,,,,,,,,,,,,,,,,,,,,
30,11B - 1,11,AMB,Control,AMB Control,10/19/20,28.61,6.46,34.51,8.066,,,,,,,,,,,,,,,,,,,,,,
31,2aB - 1,2a,OAW,MP+,OAW MP+,10/19/20,30.08,6.34,35.4,7.908,,,,,,,,,,,,,,,,,,,,,,
32,12A - 1,12,OAW,Control,OAW Control,10/19/20,30.07,6.35,34.71,7.886,,,,,,,,,,,,,,,,,,,,,,
33,2aD - 1,2a,AMB,Control,AMB Control,10/19/20,28.63,6.54,34.28,8.085,,,,,,,,,,,,,,,,,,,,,,
34,2D - 1,2,OAW,MP+,OAW MP+,10/19/20,30.08,6.3,35.87,7.947,,,,,,,,,,,,,,,,,,,,,,
35,6E - 1,6,OAW,Control,OAW Control,10/19/20,30.08,6.37,34.49,7.948,,,,,,,,,,,,,,,,,,,,,,
36,2aC - 1,2a,AMB,MP+,AMB MP+,10/19/20,28.61,6.49,34.26,8.051,,,,,,,,,,,,,,,,,,,,,,
1,15E - 1,15,AMB,MP+,AMB MP+,10/20/20,28.64,6.54,34.61,8.088,,,,,,,,,,,,,,,,,,,,,,
2,10aA - 1,10a,OAW,MP+,OAW MP+,10/20/20,30.18,6.26,35.54,7.940,,,,,,,,,,,,,,,,,,,,,,
3,5aC - 2,5a,AMB,Control,AMB Control,10/20/20,28.65,6.46,35.69,8.045,,,,,,,,,,,,,,,,,,,,,,
4,15E - 2,15,OAW,Control,OAW Control,10/20/20,30.16,6.36,33.26,7.954,,,,,,,,,,,,,,,,,,,,,,
5,15C - 1,15,OAW,MP+,OAW MP+,10/20/20,30.18,6.28,35.63,7.881,,,,,,,,,,,,,,,,,,,,,,
6,10aB - 1,10a,AMB,MP+,AMB MP+,10/20/20,28.56,6.28,34.71,8.057,,,,,,,,,,,,,,,,,,,,,,
7,15E - 3,15,AMB,Control,AMB Control,10/20/20,28.64,6.46,35.45,8.105,,,,,,,,,,,,,,,,,,,,,,
8,6D - 1,6,AMB,Control,AMB Control,10/20/20,28.63,6.43,35.56,8.094,,,,,,,,,,,,,,,,,,,,,,
9,5aC - 1,5a,OAW,Control,OAW Control,10/20/20,30.17,6.29,34.6,7.905,,,,,,,,,,,,,,,,,,,,,,
10,6B - 2,6,OAW,MP+,OAW MP+,10/20/20,30.17,6.24,36.18,7.928,,,,,,,,,,,,,,,,,,,,,,
11,5B - 1,5,OAW,Control,OAW Control,10/20/20,30.16,6.3,34.48,7.979,,,,,,,,,,,,,,,,,,,,,,
12,5aE - 1,5a,AMB,MP+,AMB MP+,10/20/20,28.63,6.41,35.63,8.108,,,,,,,,,,,,,,,,,,,,,,
13,11E - 2,11,OAW,MP+,OAW MP+,10/20/20,30.15,6.32,34.76,7.910,,,,,,,,,,,,,,,,,,,,,,
14,12E - 1,12,AMB,Control,AMB Control,10/20/20,28.66,6.54,33.7,8.064,,,,,,,,,,,,,,,,,,,,,,
15,2E - 1,2,AMB,MP+,AMB MP+,10/20/20,28.68,6.55,32.85,8.077,,,,,,,,,,,,,,,,,,,,,,
16,2B - 1,2,AMB,Control,AMB Control,10/20/20,28.64,6.47,34.76,8.029,,,,,,,,,,,,,,,,,,,,,,
17,6B - 1,6,AMB,MP+,AMB MP+,10/20/20,28.64,6.5,34.18,8.102,,,,,,,,,,,,,,,,,,,,,,
18,2aE - 1,2a,OAW,Control,OAW Control,10/20/20,30.13,6.33,34.88,7.923,,,,,,,,,,,,,,,,,,,,,,
19,10aC - 1,10a,OAW,Control,OAW Control,10/20/20,30.11,6.34,33.52,7.955,,,,,,,,,,,,,,,,,,,,,,
20,12E - 2,12,AMB,MP+,AMB MP+,10/20/20,28.64,6.48,35.19,8.048,,,,,,,,,,,,,,,,,,,,,,
21,11E - 1,11,OAW,Control,OAW Control,10/20/20,29.37,6.39,34.92,7.912,,,,,,,,,,,,,,,,,,,,,,
22,5aA - 1,5a,OAW,MP+,OAW MP+,10/20/20,30.12,6.37,34.24,7.933,,,,,,,,,,,,,,,,,,,,,,
23,5D - 1,5,AMB,Control,AMB Control,10/20/20,28.62,6.55,32.78,8.095,,,,,,,,,,,,,,,,,,,,,,
24,12B - 1,12,OAW,MP+,OAW MP+,10/20/20,30.12,6.31,34.99,7.905,,,,,,,,,,,,,,,,,,,,,,
25,5C - 1,5,AMB,MP+,AMB MP+,10/20/20,28.63,6.42,35.51,8.035,,,,,,,,,,,,,,,,,,,,,,
26,10aD - 1,10a,AMB,Control,AMB Control,10/20/20,28.65,6.43,36.14,8.042,,,,,,,,,,,,,,,,,,,,,,
27,11A - 1,11,AMB,MP+,AMB MP+,10/20/20,28.63,6.42,36,8.058,,,,,,,,,,,,,,,,,,,,,,
28,5C - 2,5,OAW,MP+,OAW MP+,10/20/20,30.16,6.26,36.12,7.905,,,,,,,,,,,,,,,,,,,,,,
29,2A - 1,2,OAW,Control,OAW Control,10/20/20,30.16,6.43,31.52,7.931,,,,,,,,,,,,,,,,,,,,,,
30,11B - 1,11,AMB,Control,AMB Control,10/20/20,28.64,6.44,35.04,8.061,,,,,,,,,,,,,,,,,,,,,,
31,2aB - 1,2a,OAW,MP+,OAW MP+,10/20/20,30.16,6.31,35.91,7.919,,,,,,,,,,,,,,,,,,,,,,
32,12A - 1,12,OAW,Control,OAW Control,10/20/20,30.16,6.31,35.4,7.914,,,,,,,,,,,,,,,,,,,,,,
33,2aD - 1,2a,AMB,Control,AMB Control,10/20/20,28.64,6.5,34.84,8.103,,,,,,,,,,,,,,,,,,,,,,
34,2D - 1,2,OAW,MP+,OAW MP+,10/20/20,30.16,6.26,36.34,7.934,,,,,,,,,,,,,,,,,,,,,,
35,6E - 1,6,OAW,Control,OAW Control,10/20/20,30.17,6.33,35.09,7.931,,,,,,,,,,,,,,,,,,,,,,
36,2aC - 1,2a,AMB,MP+,AMB MP+,10/20/20,28.62,6.49,34.67,8.047,,,,,,,,,,,,,,,,,,,,,,
1,15E - 1,15,AMB,MP+,AMB MP+,10/21/20,28.64,6.49,35.35,8.019,,,,,,,,,,,,,,,,,,,,,,
2,10aA - 1,10a,OAW,MP+,OAW MP+,10/21/20,30.44,6.3,35.74,7.972,,,,,,,,,,,,,,,,,,,,,,
3,5aC - 2,5a,AMB,Control,AMB Control,10/21/20,28.63,6.54,34.69,8.059,,,,,,,,,,,,,,,,,,,,,,
4,15E - 2,15,OAW,Control,OAW Control,10/21/20,30.41,6.43,32.68,7.981,,,,,,,,,,,,,,,,,,,,,,
5,15C - 1,15,OAW,MP+,OAW MP+,10/21/20,30.19,6.36,35.55,7.978,,,,,,,,,,,,,,,,,,,,,,
6,10aB - 1,10a,AMB,MP+,AMB MP+,10/21/20,28.56,6.38,33.84,8.083,,,,,,,,,,,,,,,,,,,,,,
7,15E - 3,15,AMB,Control,AMB Control,10/21/20,28.62,6.5,35.08,8.088,,,,,,,,,,,,,,,,,,,,,,
8,6D - 1,6,AMB,Control,AMB Control,10/21/20,28.64,6.46,35.31,8.075,,,,,,,,,,,,,,,,,,,,,,
9,5aC - 1,5a,OAW,Control,OAW Control,10/21/20,30.40,6.31,34.6,7.936,,,,,,,,,,,,,,,,,,,,,,
10,6B - 2,6,OAW,MP+,OAW MP+,10/21/20,30.39,6.32,36.05,7.940,,,,,,,,,,,,,,,,,,,,,,
11,5B - 1,5,OAW,Control,OAW Control,10/21/20,30.41,6.33,34.65,7.998,,,,,,,,,,,,,,,,,,,,,,
12,5aE - 1,5a,AMB,MP+,AMB MP+,10/21/20,28.62,6.52,33.96,8.066,,,,,,,,,,,,,,,,,,,,,,
13,11E - 2,11,OAW,MP+,OAW MP+,10/21/20,30.41,6.34,33.73,7.929,,,,,,,,,,,,,,,,,,,,,,
14,12E - 1,12,AMB,Control,AMB Control,10/21/20,28.64,6.59,33.78,8.077,,,,,,,,,,,,,,,,,,,,,,
15,2E - 1,2,AMB,MP+,AMB MP+,10/21/20,28.65,6.6,33,8.077,,,,,,,,,,,,,,,,,,,,,,
16,2B - 1,2,AMB,Control,AMB Control,10/21/20,28.64,6.56,34.43,8.018,,,,,,,,,,,,,,,,,,,,,,
17,6B - 1,6,AMB,MP+,AMB MP+,10/21/20,28.64,6.58,33.56,8.094,,,,,,,,,,,,,,,,,,,,,,
18,2aE - 1,2a,OAW,Control,OAW Control,10/21/20,30.41,6.33,35.19,7.953,,,,,,,,,,,,,,,,,,,,,,
19,10aC - 1,10a,OAW,Control,OAW Control,10/21/20,30.40,6.45,31.49,7.986,,,,,,,,,,,,,,,,,,,,,,
20,12E - 2,12,AMB,MP+,AMB MP+,10/21/20,28.64,6.58,34.31,8.056,,,,,,,,,,,,,,,,,,,,,,
21,11E - 1,11,OAW,Control,OAW Control,10/21/20,29.36,6.5,33.61,7.958,,,,,,,,,,,,,,,,,,,,,,
22,5aA - 1,5a,OAW,MP+,OAW MP+,10/21/20,30.39,6.36,34.14,7.950,,,,,,,,,,,,,,,,,,,,,,
23,5D - 1,5,AMB,Control,AMB Control,10/21/20,28.62,6.53,32.44,8.084,,,,,,,,,,,,,,,,,,,,,,
24,12B - 1,12,OAW,MP+,OAW MP+,10/21/20,30.38,6.33,34.8,8.081,,,,,,,,,,,,,,,,,,,,,,
25,5C - 1,5,AMB,MP+,AMB MP+,10/21/20,28.63,6.46,35.67,8.032,,,,,,,,,,,,,,,,,,,,,,
26,10aD - 1,10a,AMB,Control,AMB Control,10/21/20,28.63,6.48,36.04,8.064,,,,,,,,,,,,,,,,,,,,,,
27,11A - 1,11,AMB,MP+,AMB MP+,10/21/20,28.63,6.47,36.2,8.047,,,,,,,,,,,,,,,,,,,,,,
28,5C - 2,5,OAW,MP+,OAW MP+,10/21/20,30.42,6.3,34.9,7.926,,,,,,,,,,,,,,,,,,,,,,
29,2A - 1,2,OAW,Control,OAW Control,10/21/20,30.40,6.4,32.43,7.961,,,,,,,,,,,,,,,,,,,,,,
30,11B - 1,11,AMB,Control,AMB Control,10/21/20,28.64,6.47,33.95,8.052,,,,,,,,,,,,,,,,,,,,,,
31,2aB - 1,2a,OAW,MP+,OAW MP+,10/21/20,30.40,6.34,34.94,7.939,,,,,,,,,,,,,,,,,,,,,,
32,12A - 1,12,OAW,Control,OAW Control,10/21/20,30.38,6.31,35.44,7.810,,,,,,,,,,,,,,,,,,,,,,
33,2aD - 1,2a,AMB,Control,AMB Control,10/21/20,28.63,6.54,33.51,8.065,,,,,,,,,,,,,,,,,,,,,,
34,2D - 1,2,OAW,MP+,OAW MP+,10/21/20,30.41,6.32,34.94,7.953,,,,,,,,,,,,,,,,,,,,,,
35,6E - 1,6,OAW,Control,OAW Control,10/21/20,30.41,6.38,33.7,8.012,,,,,,,,,,,,,,,,,,,,,,
36,2aC - 1,2a,AMB,MP+,AMB MP+,10/21/20,28.63,6.56,32.55,8.048,,,,,,,,,,,,,,,,,,,,,,
1,15E - 1,15,AMB,MP+,AMB MP+,10/22/20,28.62,6.4,35.94,8.036,,,,,,,,,,,,,,,,,,,,,,
2,10aA - 1,10a,OAW,MP+,OAW MP+,10/22/20,30.38,6.22,36.58,7.935,,,,,,,,,,,,,,,,,,,,,,
3,5aC - 2,5a,AMB,Control,AMB Control,10/22/20,28.63,6.43,35.26,7.981,,,,,,,,,,,,,,,,,,,,,,
4,15E - 2,15,OAW,Control,OAW Control,10/22/20,30.35,6.34,32.09,7.932,,,,,,,,,,,,,,,,,,,,,,
5,15C - 1,15,OAW,MP+,OAW MP+,10/22/20,30.21,6.31,33.35,7.898,,,,,,,,,,,,,,,,,,,,,,
6,10aB - 1,10a,AMB,MP+,AMB MP+,10/22/20,28.55,6.42,32.58,8.030,,,,,,,,,,,,,,,,,,,,,,
7,15E - 3,15,AMB,Control,AMB Control,10/22/20,28.60,6.44,34.83,8.029,,,,,,,,,,,,,,,,,,,,,,
8,6D - 1,6,AMB,Control,AMB Control,10/22/20,28.61,6.45,34.93,8.023,,,,,,,,,,,,,,,,,,,,,,
9,5aC - 1,5a,OAW,Control,OAW Control,10/22/20,30.34,6.26,34.17,7.905,,,,,,,,,,,,,,,,,,,,,,
10,6B - 2,6,OAW,MP+,OAW MP+,10/22/20,30.34,6.14,36.12,7.883,,,,,,,,,,,,,,,,,,,,,,
11,5B - 1,5,OAW,Control,OAW Control,10/22/20,30.36,6.28,34.8,7.907,,,,,,,,,,,,,,,,,,,,,,
12,5aE - 1,5a,AMB,MP+,AMB MP+,10/22/20,28.60,6.5,34.04,8.025,,,,,,,,,,,,,,,,,,,,,,
13,11E - 2,11,OAW,MP+,OAW MP+,10/22/20,30.39,6.34,32.89,7.860,,,,,,,,,,,,,,,,,,,,,,
14,12E - 1,12,AMB,Control,AMB Control,10/22/20,28.62,6.54,33.7,8.027,,,,,,,,,,,,,,,,,,,,,,
15,2E - 1,2,AMB,MP+,AMB MP+,10/22/20,28.62,6.51,33.55,8.015,,,,,,,,,,,,,,,,,,,,,,
16,2B - 1,2,AMB,Control,AMB Control,10/22/20,28.62,6.47,34.14,7.951,,,,,,,,,,,,,,,,,,,,,,
17,6B - 1,6,AMB,MP+,AMB MP+,10/22/20,28.65,6.62,30.56,8.027,,,,,,,,,,,,,,,,,,,,,,
18,2aE - 1,2a,OAW,Control,OAW Control,10/22/20,30.35,6.25,35.43,7.923,,,,,,,,,,,,,,,,,,,,,,
19,10aC - 1,10a,OAW,Control,OAW Control,10/22/20,30.35,6.35,32.39,7.919,,,,,,,,,,,,,,,,,,,,,,
20,12E - 2,12,AMB,MP+,AMB MP+,10/22/20,28.62,6.51,34.22,7.997,,,,,,,,,,,,,,,,,,,,,,
21,11E - 1,11,OAW,Control,OAW Control,10/22/20,29.31,6.45,33.55,7.927,,,,,,,,,,,,,,,,,,,,,,
22,5aA - 1,5a,OAW,MP+,OAW MP+,10/22/20,30.35,6.36,33.73,7.922,,,,,,,,,,,,,,,,,,,,,,
23,5D - 1,5,AMB,Control,AMB Control,10/22/20,28.61,6.6,31.06,8.030,,,,,,,,,,,,,,,,,,,,,,
24,12B - 1,12,OAW,MP+,OAW MP+,10/22/20,30.32,6.31,34.49,8.210,,,,,,,,,,,,,,,,,,,,,,
25,5C - 1,5,AMB,MP+,AMB MP+,10/22/20,28.60,6.43,35.43,7.979,,,,,,,,,,,,,,,,,,,,,,
26,10aD - 1,10a,AMB,Control,AMB Control,10/22/20,28.61,6.49,34.62,8.014,,,,,,,,,,,,,,,,,,,,,,
27,11A - 1,11,AMB,MP+,AMB MP+,10/22/20,28.61,6.43,35.05,7.994,,,,,,,,,,,,,,,,,,,,,,
28,5C - 2,5,OAW,MP+,OAW MP+,10/22/20,30.35,6.34,32.58,7.898,,,,,,,,,,,,,,,,,,,,,,
29,2A - 1,2,OAW,Control,OAW Control,10/22/20,30.36,6.39,31.41,7.889,,,,,,,,,,,,,,,,,,,,,,
30,11B - 1,11,AMB,Control,AMB Control,10/22/20,28.61,6.51,31.79,7.981,,,,,,,,,,,,,,,,,,,,,,
31,2aB - 1,2a,OAW,MP+,OAW MP+,10/22/20,30.35,6.33,34.84,7.916,,,,,,,,,,,,,,,,,,,,,,
32,12A - 1,12,OAW,Control,OAW Control,10/22/20,30.34,6.31,34.22,8.000,,,,,,,,,,,,,,,,,,,,,,
33,2aD - 1,2a,AMB,Control,AMB Control,10/22/20,28.62,6.49,34.12,7.988,,,,,,,,,,,,,,,,,,,,,,
34,2D - 1,2,OAW,MP+,OAW MP+,10/22/20,30.37,6.27,34.55,7.932,,,,,,,,,,,,,,,,,,,,,,
35,6E - 1,6,OAW,Control,OAW Control,10/22/20,30.35,6.35,33.03,7.936,,,,,,,,,,,,,,,,,,,,,,
36,2aC - 1,2a,AMB,MP+,AMB MP+,10/22/20,28.61,6.54,32.59,7.986,,,,,,,,,,,,,,,,,,,,,,
1,15E - 1,15,AMB,MP+,AMB MP+,10/23/20,28.63,6.35,36.65,8.051,,,,,,,,,,,,,,,,,,,,,,
2,10aA - 1,10a,OAW,MP+,OAW MP+,10/23/20,30.44,6.11,37.77,7.926,,,,,,,,,,,,,,,,,,,,,,
3,5aC - 2,5a,AMB,Control,AMB Control,10/23/20,28.64,6.3,36.61,7.991,,,,,,,,,,,,,,,,,,,,,,
4,15E - 2,15,OAW,Control,OAW Control,10/23/20,30.41,6.18,34.1,7.931,,,,,,,,,,,,,,,,,,,,,,
5,15C - 1,15,OAW,MP+,OAW MP+,10/23/20,30.18,6.14,35.29,7.879,,,,,,,,,,,,,,,,,,,,,,
